 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
 R$ 22,500.00 ; R$ 40,000.00 ; R$ 50,000.00 
